Timestamp,Mag_X,Mag_Y,Mag_Z,Ori_X,Ori_Y,Ori_Z,Position
1754853977.956,-0.736989,5.362316,8.038688,83.136072,-33.012811,2.66732,1
1754853977.966,-0.617348,5.377869,7.948957,83.088281,-32.997884,2.565324,1
1754853977.975,-0.411565,5.426922,7.947761,83.009604,-32.978418,2.434531,1
1754853977.985,-0.143569,5.533402,7.962117,82.905492,-32.946213,2.285398,1
1754853977.994,0.084945,5.588437,8.105687,82.785226,-32.897285,2.142826,1
1754853978.004,0.242871,5.54417,8.511271,82.668956,-32.825592,2.02255,1
1754853978.013,0.259621,5.408976,8.982656,82.590811,-32.730485,1.920453,1
1754853978.022,0.191426,5.26421,9.270991,82.56985,-32.627687,1.838286,1
1754853978.032,0.0335,5.196014,9.305687,82.598878,-32.544813,1.781837,1
1754853978.04099,-0.196211,5.196014,9.144172,82.655848,-32.504723,1.758328,1
1754853978.051,-0.404387,5.257031,8.900104,82.720517,-32.512503,1.757917,1
1754853978.06,-0.551546,5.32403,8.608179,82.778648,-32.559167,1.756281,1
1754853978.07,-0.567099,5.369494,8.327023,82.81239,-32.629163,1.7434,1
1754853978.07899,-0.465404,5.412565,8.07458,82.820866,-32.704804,1.72143,1
1754853978.089,-0.362513,5.441278,7.856833,82.79683,-32.770162,1.696725,1
1754853978.09801,-0.264407,5.431707,7.80778,82.747831,-32.811976,1.677884,1
1754853978.108,-0.157926,5.479564,7.850851,82.684009,-32.817225,1.665945,1
1754853978.117,-0.094516,5.471189,7.996813,82.609765,-32.791308,1.660928,1
1754853978.126,-0.007178,5.464011,8.193025,82.542495,-32.734744,1.666808,1
1754853978.136,0.014357,5.393422,8.372486,82.484308,-32.659468,1.678082,1
1754853978.145,-0.0335,5.312066,8.560323,82.446196,-32.576215,1.689762,1
1754853978.155,-0.09332,5.268995,8.711071,82.434502,-32.495933,1.69145,1
1754853978.164,-0.149551,5.283352,8.740981,82.445711,-32.433396,1.67853,1
1754853978.174,-0.179462,5.289334,8.605786,82.470095,-32.400064,1.664615,1
1754853978.183,-0.197408,5.289334,8.411968,82.497354,-32.395386,1.660709,1
1754853978.193,-0.229711,5.300102,8.256434,82.522052,-32.408462,1.664973,1
1754853978.202,-0.278764,5.312066,8.1344,82.543526,-32.425425,1.670989,1
1754853978.212,-0.324227,5.322834,8.04108,82.559509,-32.437921,1.680165,1
1754853978.221,-0.352941,5.325227,7.986045,82.573517,-32.438952,1.695071,1
1754853978.231,-0.403191,5.319245,8.02792,82.583769,-32.421846,1.70905,1
1754853978.24,-0.391227,5.315656,8.135597,82.593605,-32.381561,1.723311,1
1754853978.249,-0.348156,5.286942,8.289934,82.601385,-32.321589,1.735052,1
1754853978.259,-0.309871,5.236692,8.453842,82.607579,-32.244725,1.745162,1
1754853978.268,-0.311067,5.205585,8.585447,82.61497,-32.158604,1.757437,1
1754853978.278,-0.31346,5.191229,8.681161,82.62445,-32.073838,1.773826,1
1754853978.287,-0.311067,5.190032,8.76132,82.639388,-31.997835,1.786559,1
1754853978.297,-0.317049,5.18764,8.745767,82.654011,-31.934556,1.790011,1
1754853978.306,-0.299103,5.192425,8.677571,82.671449,-31.885471,1.788461,1
1754853978.316,-0.272782,5.191229,8.673982,82.684426,-31.849199,1.782214,1
1754853978.325,-0.244068,5.194818,8.681161,82.699336,-31.819608,1.773739,1
1754853978.335,-0.272782,5.185246,8.640483,82.714663,-31.795282,1.774524,1
1754853978.344,-0.273978,5.18764,8.620144,82.732101,-31.776342,1.794083,1
1754853978.353,-0.299103,5.194818,8.623733,82.744518,-31.761636,1.818094,1
1754853978.363,-0.339781,5.181657,8.593822,82.749798,-31.749048,1.837102,1
1754853978.372,-0.325424,5.210371,8.575876,82.750296,-31.738223,1.848279,1
1754853978.382,-0.321835,5.245067,8.566305,82.742558,-31.732434,1.845705,1
1754853978.391,-0.277567,5.229514,8.578269,82.735003,-31.731788,1.842159,1
1754853978.401,-0.245264,5.218746,8.562716,82.731513,-31.732922,1.843574,1
1754853978.41,-0.254836,5.199604,8.547162,82.733583,-31.736433,1.851716,1
1754853978.42,-0.325424,5.218746,8.465807,82.737599,-31.741491,1.868115,1
1754853978.429,-0.397209,5.207978,8.372486,82.738637,-31.752767,1.895426,1
1754853978.439,-0.448654,5.246264,8.372486,82.732681,-31.764362,1.922175,1
1754853978.448,-0.454636,5.24746,8.402397,82.719806,-31.776588,1.937011,1
1754853978.458,-0.401994,5.24746,8.425129,82.702567,-31.787567,1.942127,1
1754853978.467,-0.302692,5.21755,8.415557,82.67776,-31.800148,1.939246,1
1754853978.476,-0.276371,5.228317,8.391629,82.650002,-31.813519,1.923854,1
1754853978.486,-0.252443,5.248656,8.35454,82.617586,-31.828617,1.901951,1
1754853978.495,-0.210568,5.300102,8.328219,82.582957,-31.844053,1.872436,1
1754853978.505,-0.196211,5.286942,8.329415,82.546859,-31.859332,1.840229,1
1754853978.514,-0.211765,5.284549,8.327023,82.516554,-31.866726,1.816332,1
1754853978.524,-0.198604,5.268995,8.378469,82.488481,-31.867972,1.80338,1
1754853978.533,-0.197408,5.26421,8.452646,82.462732,-31.859318,1.792154,1
1754853978.543,-0.21655,5.258228,8.512466,82.440732,-31.845846,1.787828,1
1754853978.552,-0.226122,5.239085,8.537591,82.420542,-31.834006,1.794537,1
1754853978.562,-0.208176,5.258228,8.538788,82.402612,-31.825529,1.804061,1
1754853978.571,-0.211765,5.289334,8.536395,82.384219,-31.823088,1.805457,1
1754853978.58,-0.212961,5.263013,8.513663,82.36672,-31.828302,1.80127,1
1754853978.59,-0.221336,5.259424,8.463413,82.353018,-31.837872,1.792618,1
1754853978.599,-0.205783,5.266603,8.405986,82.343374,-31.850521,1.781535,1
1754853978.609,-0.208176,5.271388,8.413164,82.336004,-31.861644,1.768055,1
1754853978.618,-0.246461,5.259424,8.425129,82.328225,-31.867405,1.760053,1
1754853978.628,-0.270389,5.229514,8.433503,82.320657,-31.868898,1.763847,1
1754853978.637,-0.27996,5.239085,8.445468,82.314387,-31.86592,1.774243,1
1754853978.647,-0.306281,5.241478,8.443074,82.306635,-31.863054,1.787276,1
1754853978.656,-0.306281,5.263013,8.455039,82.298227,-31.860435,1.80292,1
1754853978.666,-0.299103,5.243871,8.438289,82.284546,-31.858898,1.812912,1
1754853978.675,-0.260818,5.266603,8.429914,82.270974,-31.856392,1.815615,1
1754853978.685,-0.234497,5.26421,8.46461,82.252697,-31.85591,1.810899,1
1754853978.694,-0.228515,5.249853,8.495717,82.236058,-31.855913,1.802921,1
1754853978.703,-0.2333,5.235496,8.516056,82.224153,-31.856228,1.794448,1
1754853978.713,-0.234497,5.240282,8.510074,82.213901,-31.858041,1.786288,1
1754853978.722,-0.270389,5.245067,8.505288,82.205609,-31.862952,1.778954,1
1754853978.732,-0.258425,5.236692,8.500503,82.197809,-31.870988,1.775643,1
1754853978.741,-0.254836,5.235496,8.463413,82.188206,-31.881124,1.770742,1
1754853978.751,-0.2668,5.25105,8.389236,82.176533,-31.895672,1.767362,1
1754853978.76,-0.302692,5.240282,8.285149,82.159874,-31.915022,1.766019,1
1754853978.77,-0.312263,5.230711,8.216953,82.139124,-31.937493,1.762523,1
1754853978.779,-0.294317,5.254639,8.170293,82.110649,-31.957987,1.748372,1
1754853978.789,-0.214158,5.267799,8.190632,82.079087,-31.975524,1.722003,1
1754853978.798,-0.102891,5.258228,8.254042,82.046705,-31.984188,1.688761,1
1754853978.807,-0.023928,5.225924,8.331808,82.016563,-31.981036,1.656734,1
1754853978.817,-0.020339,5.221139,8.429914,81.995205,-31.966347,1.634726,1
1754853978.826,-0.074178,5.197211,8.493324,81.985575,-31.945399,1.629143,1
1754853978.836,-0.175872,5.229514,8.559127,81.985015,-31.924663,1.638401,1
1754853978.845,-0.240479,5.233103,8.538788,81.992152,-31.910446,1.656425,1
1754853978.855,-0.300299,5.259424,8.474181,82.001783,-31.907017,1.670524,1
1754853978.864,-0.325424,5.297709,8.368897,82.007745,-31.916992,1.681715,1
1754853978.874,-0.302692,5.316852,8.246863,82.009508,-31.938518,1.687757,1
1754853978.883,-0.281157,5.318048,8.132008,82.005812,-31.964373,1.683585,1
1754853978.893,-0.244068,5.315656,8.102098,82.000157,-31.985253,1.671428,1
1754853978.902,-0.226122,5.300102,8.122437,81.99597,-31.991076,1.655274,1
